Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Him followed his next mate  Both glorying to have scaped the Stygian flood As gods  and by their own recovered strength  Not by the sufferance of supernal Power ,followed mate glorying scaped Stygian flood gods recovered strength sufferance supernal Power,9.94,"followed,mate,glorying,scaped,Stygian,flood,gods,recovered,strength,sufferance,supernal,Power",0.00,
 Is this the region  this the soil  the clime  Said then the lost Archangel   this the seat That we must change for Heaven    this mournful gloom For that celestial light ,region soil clime Said lost Archangel seat change Heaven mournful gloom celestial light,9.94,"region,soil,clime,Said,lost,Archangel,seat,change,Heaven,mournful,gloom,celestial,light",0.00,
Be it so  since he Who now is sovereign can dispose and bid What shall be right  farthest from him is best Whom reason hath equalled  force hath made supreme Above his equals ,sovereign dispose bid shall right farthest best reason hath equalled force hath supreme equals,10.86,"sovereign,dispose,bid,shall,right,farthest,best,reason,hath,equalled,force,hath,supreme,equals",0.00,
Farewell  happy fields  Where joy for ever dwells ,Farewell happy fields joy dwells,6.00,"Farewell,happy,fields,joy,dwells",0.00,
hail  Infernal world ,hail Infernal world,0.00,"hail,Infernal,world",0.00,
and thou  profoundest Hell  Receive thy new possessor    one who brings A mind not to be changed by place or time ,thou profoundest Hell Receive thy new possessor brings mind changed place time,7.89,"thou,profoundest,Hell,Receive,thy,new,possessor,brings,mind,changed,place,time",0.00,
The mind is its own place  and in itself Can make a Heaven of Hell  a Hell of Heaven ,mind place Heaven Hell Hell Heaven,15.29,"mind,place,Heaven,Hell,Hell,Heaven",0.00,
What matter where  if I be still the same  And what I should be  all but less than he Whom thunder hath made greater ,matter thunder hath greater,17.09,"matter,thunder,hath,greater",0.00,
Here at least We shall be free  th  Almighty hath not built Here for his envy  will not drive us hence  Here we may reigh secure  and  in my choice  To reign is worth ambition  though in Hell  Better to reign in Hell than serve in Heaven ,shall free th Almighty hath built envy drive reigh secure choice reign worth ambition Hell Better reign Hell serve Heaven,11.34,"shall,free,th,Almighty,hath,built,envy,drive,reigh,secure,choice,reign,worth,ambition,Hell,Better,reign,Hell,serve,Heaven",0.00,
But wherefore let we then our faithful friends  Th  associates and co   partners of our loss  Lie thus astonished on th  oblivious pool  And call them not to share with us their part In this unhappy mansion  or once more With rallied arms to try what may be yet Regained in Heaven  or what more lost in Hell ,wherefore let faithful friends Th associates co partners loss Lie astonished th oblivious pool share unhappy mansion rallied arms try Regained Heaven lost Hell,11.04,"wherefore,let,faithful,friends,Th,associates,co,partners,loss,Lie,astonished,th,oblivious,pool,share,unhappy,mansion,rallied,arms,try,Regained,Heaven,lost,Hell",0.00,
So Satan spake  and him Beelzebub Thus answered    Leader of those armies bright Which  but th  Omnipotent  none could have foiled ,Satan spake Beelzebub answered Leader armies bright th Omnipotent foiled,8.40,"Satan,spake,Beelzebub,answered,Leader,armies,bright,th,Omnipotent,foiled",0.00,
If once they hear that voice  their liveliest pledge Of hope in fears and dangers    heard so oft In worst extremes  and on the perilous edge Of battle  when it raged  in all assaults Their surest signal    they will soon resume New courage and revive  though now they lie Grovelling and prostrate on yon lake of fire  As we erewhile  astounded and amazed  No wonder  fallen such a pernicious height ,hear voice liveliest pledge hope fears dangers heard oft worst extremes perilous edge battle raged assaults surest signal soon resume New courage revive lie Grovelling prostrate yon lake fire erewhile astounded amazed wonder fallen pernicious height,8.50,"hear,voice,liveliest,pledge,hope,fears,dangers,heard,oft,worst,extremes,perilous,edge,battle,raged,assaults,surest,signal,soon,resume,New,courage,revive,lie,Grovelling,prostrate,yon,lake,fire,erewhile,astounded,amazed,wonder,fallen,pernicious,height",0.00,
He scare had ceased when the superior Fiend Was moving toward the shore  his ponderous shield  Ethereal temper  massy  large  and round  Behind him cast ,scare ceased superior Fiend moving shore ponderous shield Ethereal temper massy large round cast,7.19,"scare,ceased,superior,Fiend,moving,shore,ponderous,shield,Ethereal,temper,massy,large,round,cast",0.00,
The broad circumference Hung on his shoulders like the moon  whose orb Through optic glass the Tuscan artist views At evening  from the top of Fesole  Or in Valdarno  to descry new lands  Rivers  or mountains  in her spotty globe ,broad circumference Hung shoulders like moon orb optic glass Tuscan artist views evening Fesole Valdarno descry new lands Rivers mountains spotty globe,7.83,"broad,circumference,Hung,shoulders,like,moon,orb,optic,glass,Tuscan,artist,views,evening,Fesole,Valdarno,descry,new,lands,Rivers,mountains,spotty,globe",0.00,
His spear    to equal which the tallest pine Hewn on Norwegian hills  to be the mast Of some great ammiral  were but a wand    He walked with  to support uneasy steps Over the burning marl  not like those steps On Heaven  s azure  and the torrid clime Smote on him sore besides  vaulted with fire ,spear equal tallest pine Hewn Norwegian hills mast great ammiral wand walked support uneasy steps burning marl like steps Heaven azure torrid clime Smote sore vaulted fire,9.43,"spear,equal,tallest,pine,Hewn,Norwegian,hills,mast,great,ammiral,wand,walked,support,uneasy,steps,burning,marl,like,steps,Heaven,azure,torrid,clime,Smote,sore,vaulted,fire",0.00,
