Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
One evening  just as he had lighted his candles  a footman came in  who was sent by Isabella with some plain work to Mary ,evening lighted candles footman came sent Isabella plain work Mary,11.48,"evening,lighted,candles,footman,came,sent,Isabella,plain,work,Mary",0.00,
This servant was an Englishman  and he was but newly come over to Ireland ,servant Englishman newly come Ireland,12.16,"servant,Englishman,newly,come,Ireland",0.00,
The rush candles caught his attention  for he had never seen any of them before  as he came from a part of England where they were not used ,rush candles caught attention seen came England,15.00,"rush,candles,caught,attention,seen,came,England",0.00,
Edmund  who was ready to oblige  and proud that his candles were noticed showed the Englishman how they were made  and gave him a bundle of rushes ,Edmund ready oblige proud candles noticed showed Englishman gave bundle rushes,10.88,"Edmund,ready,oblige,proud,candles,noticed,showed,Englishman,gave,bundle,rushes",0.00,
 The proper species of rush  says White  in his  Natural History of Selborne   seems to be the Juncus effusus  or common soft rush  which is to be found in moist pastures  by the sides of streams  and under hedges ,proper species rush says White Natural History Selborne Juncus effusus common soft rush found moist pastures sides streams hedges,9.35,"proper,species,rush,says,White,Natural,History,Selborne,Juncus,effusus,common,soft,rush,found,moist,pastures,sides,streams,hedges",0.00,
These rushes are in best condition in the height of summer  but may be gathered so as to serve the purpose well quite on to autumn ,rushes best condition height summer gathered serve purpose autumn,12.98,"rushes,best,condition,height,summer,gathered,serve,purpose,autumn",0.00,
The largest and longest are the best ,largest longest best,10.81,"largest,longest,best",0.00,
Decayed labourers  women  and children make it their business to procure and prepare them ,Decayed labourers women children business procure prepare,7.78,"Decayed,labourers,women,children,business,procure,prepare",0.00,
As soon as they are cut  they must be flung into water  and kept there  for otherwise they will dry and shrink  and the peel will not run ,soon cut flung water kept dry shrink peel run,13.77,"soon,cut,flung,water,kept,dry,shrink,peel,run",0.00,
When these junci are thus far prepared  they must lie out on the grass to be bleached and take the dew for some nights  and afterwards be dried in the sun ,junci far prepared lie grass bleached dew nights dried sun,13.55,"junci,far,prepared,lie,grass,bleached,dew,nights,dried,sun",0.00,
Some address is required in dipping these rushes in the scalding fat or grease  but this knack is also to be attained by practice ,address required dipping rushes scalding fat grease knack attained practice,10.77,"address,required,dipping,rushes,scalding,fat,grease,knack,attained,practice",0.00,
A pound of common grease may be procured for fourpence  and about six pounds of grease will dip a pound of rushes and one pound of rushes may be bought for one shilling  so that a pound of rushes  medicated and ready for use  will cost three shillings ,pound common grease procured fourpence pounds grease dip pound rushes pound rushes bought shilling pound rushes medicated ready use cost shillings,10.71,"pound,common,grease,procured,fourpence,pounds,grease,dip,pound,rushes,pound,rushes,bought,shilling,pound,rushes,medicated,ready,use,cost,shillings",0.00,
The servant was pleased with his good nature in this trifling instance  and remembered it long after it was forgotten by Edmund ,servant pleased good nature trifling instance remembered long forgotten Edmund,9.38,"servant,pleased,good,nature,trifling,instance,remembered,long,forgotten,Edmund",0.00,
Whenever his master wanted to send a messenger anywhere  Gilbert  always employed his little friend Edmund  whom  upon further acquaintance  he liked better and better ,master wanted send messenger Gilbert employed little friend Edmund acquaintance liked better better,7.14,"master,wanted,send,messenger,Gilbert,employed,little,friend,Edmund,acquaintance,liked,better,better",0.00,
He found that Edmund was both quick and exact in executing commissions ,found Edmund quick exact executing commissions,8.45,"found,Edmund,quick,exact,executing,commissions",0.00,
One day  after he had waited a great while at a gentleman  s house for an answer to a letter  he was so impatient to get home that he ran off without it ,day waited great gentleman house answer letter impatient home ran,15.03,"day,waited,great,gentleman,house,answer,letter,impatient,home,ran",0.00,
When he was questioned by Gilbert why he did not bring an answer  he did not attempt to make any excuse  he did not say   There was no answer  please your honour  or   They bid me not to wait  etc ,questioned Gilbert bring answer attempt excuse answer honour bid wait etc,14.72,"questioned,Gilbert,bring,answer,attempt,excuse,answer,honour,bid,wait,etc",0.00,
 but he told exactly the truth  and though Gilbert scolded him for being so impatient as not to wait  yet his telling the truth was more to the boy  s advantage than any excuse he could have made ,told exactly truth Gilbert scolded impatient wait telling truth boy advantage excuse,13.27,"told,exactly,truth,Gilbert,scolded,impatient,wait,telling,truth,boy,advantage,excuse",0.00,
After this he was always believed when he said   There was no answer  or   They bid me not wait  for Gilbert knew that he would not tell a lie to save himself from being scolded ,believed said answer bid wait Gilbert knew tell lie save scolded,13.48,"believed,said,answer,bid,wait,Gilbert,knew,tell,lie,save,scolded",0.00,
The orphans continued to assist one another in their work according to their strength and abilities  and they went on in this manner for three years ,orphans continued assist work according strength abilities went manner years,10.74,"orphans,continued,assist,work,according,strength,abilities,went,manner,years",0.00,
With what Mary got by her spinning and plain work  and Edmund by leading of cart   horses  going on errands  etc  and with little Peggy and Anne  s earnings  the family contrived to live comfortably ,Mary got spinning plain work Edmund leading cart horses going errands etc little Peggy Anne earnings family contrived live comfortably,7.54,"Mary,got,spinning,plain,work,Edmund,leading,cart,horses,going,errands,etc,little,Peggy,Anne,earnings,family,contrived,live,comfortably",0.00,
Isabella and Caroline often visited them  and sometimes gave them clothes  and sometimes flax or cotton for their spinning and knitting  and these children did not EXPECT  that because the ladies did something for them  they should do everything ,Isabella Caroline visited gave clothes flax cotton spinning knitting children EXPECT ladies,10.98,"Isabella,Caroline,visited,gave,clothes,flax,cotton,spinning,knitting,children,EXPECT,ladies",0.00,
They did not grow idle or wasteful ,grow idle wasteful,11.43,"grow,idle,wasteful",0.00,
When Edmund was about twelve years old  his friend Gilbert sent for him one day  and told him that his master had given him leave to have a boy in the house to assist him  and that his master told him he might choose one in the neighbourhood ,Edmund years old friend Gilbert sent day told master given leave boy house assist master told choose neighbourhood,12.40,"Edmund,years,old,friend,Gilbert,sent,day,told,master,given,leave,boy,house,assist,master,told,choose,neighbourhood",0.00,
Several were anxious to get into such a good place  but Gilbert said that he preferred Edmund before them all  because he knew him to be an industrious  honest  good natured lad  who always told the truth ,anxious good place Gilbert said preferred Edmund knew industrious honest good natured lad told truth,10.73,"anxious,good,place,Gilbert,said,preferred,Edmund,knew,industrious,honest,good,natured,lad,told,truth",0.00,
So Edmund went into service at the vicarage  and his master was the father of Isabella and Caroline ,Edmund went service vicarage master father Isabella Caroline,10.00,"Edmund,went,service,vicarage,master,father,Isabella,Caroline",0.00,
He found his new way of life very pleasant  for he was well fed  well clothed  and well treated  and he every day learned more of his business  in which at first he was rather awkward ,found new way life pleasant fed clothed treated day learned business awkward,13.04,"found,new,way,life,pleasant,fed,clothed,treated,day,learned,business,awkward",0.00,
He was mindful to do all that Mr  Gilbert required of him  and he was so obliging to all his fellow   servants that they could not help liking him ,mindful Mr Gilbert required obliging fellow servants help liking,13.61,"mindful,Mr,Gilbert,required,obliging,fellow,servants,help,liking",0.00,
But there was one thing which was at first rather disagreeable to him  he was obliged to wear shoes and stockings  and they hurt his feet ,thing disagreeable obliged wear shoes stockings hurt feet,13.04,"thing,disagreeable,obliged,wear,shoes,stockings,hurt,feet",0.00,
Besides this  when he waited at dinner he made such a noise in walking that his fellow   servants laughed at him ,waited dinner noise walking fellow servants laughed,12.39,"waited,dinner,noise,walking,fellow,servants,laughed",0.00,
He told his sister Mary of his distress  and she made for him  after many trials  a pair of cloth shoes  with soles of platted hemp ,told sister Mary distress trials pair cloth shoes soles platted hemp,11.36,"told,sister,Mary,distress,trials,pair,cloth,shoes,soles,platted,hemp",0.00,
 In these he could walk without making the least noise  and as these shoes could not be worn out of doors  he was always sure to change them before he went out  and consequently he had always clean shoes to wear in the house ,walk making noise shoes worn doors sure change went consequently clean shoes wear house,13.33,"walk,making,noise,shoes,worn,doors,sure,change,went,consequently,clean,shoes,wear,house",0.00,
