Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
They look in every thoughtless nest Where birds are covered warm  They visit caves of every beast  To keep them all from harm  If they see any weeping That should have been sleeping  They pour sleep on their head  And sit down by their bed ,look thoughtless nest birds covered warm visit caves beast harm weeping sleeping pour sleep head sit bed,11.67,"look,thoughtless,nest,birds,covered,warm,visit,caves,beast,harm,weeping,sleeping,pour,sleep,head,sit,bed",0.00,
When wolves and tigers howl for prey  They pitying stand and weep  Seeking to drive their thirst away  And keep them from the sheep ,wolves tigers howl prey pitying stand weep Seeking drive thirst away sheep,9.09,"wolves,tigers,howl,prey,pitying,stand,weep,Seeking,drive,thirst,away,sheep",0.00,
But  if they rush dreadful  The angels  most heedful  Receive each mild spirit  New worlds to inherit ,rush dreadful angels heedful Receive mild spirit New worlds inherit,6.86,"rush,dreadful,angels,heedful,Receive,mild,spirit,New,worlds,inherit",0.00,
And there the lion  s ruddy eyes Shall flow with tears of gold  And pitying the tender cries  And walking round the fold  Saying   Wrath by His meekness  And  by His health  sickness  Are driven away From our immortal day ,lion ruddy eyes Shall flow tears gold pitying tender cries walking round fold Saying Wrath meekness health sickness driven away immortal day,8.11,"lion,ruddy,eyes,Shall,flow,tears,gold,pitying,tender,cries,walking,round,fold,Saying,Wrath,meekness,health,sickness,driven,away,immortal,day",0.00,
 And now beside thee  bleating lamb  I can lie down and sleep  Or think on Him who bore thy name  Graze after thee  and weep ,thee bleating lamb lie sleep think bore thy Graze thee weep,11.20,"thee,bleating,lamb,lie,sleep,think,bore,thy,Graze,thee,weep",0.00,
For  washed in life  s river  My bright mane for ever Shall shine like the gold  As I guard o  er the fold ,washed life river bright mane Shall shine like gold guard er fold,10.28,"washed,life,river,bright,mane,Shall,shine,like,gold,guard,er,fold",0.00,
Bird  s delight  Day and night  Nightingale  In the dale  Lark in sky    Merrily  Merrily merrily  to welcome in the year ,Bird delight Day night Nightingale dale Lark sky Merrily Merrily merrily welcome year,6.56,"Bird,delight,Day,night,Nightingale,dale,Lark,sky,Merrily,Merrily,merrily,welcome,year",0.00,
Little boy  Full of joy  Little girl  Sweet and small  Cock does crow  So do you  Merry voice  Infant noise  Merrily  merrily  to welcome in the year ,Little boy joy Little girl Sweet small Cock crow Merry voice Infant noise Merrily merrily welcome year,6.67,"Little,boy,joy,Little,girl,Sweet,small,Cock,crow,Merry,voice,Infant,noise,Merrily,merrily,welcome,year",0.00,
Little lamb  Here I am  Come and lick My white neck  Let me pull Your soft wool  Let me kiss Your soft face  Merrily  merrily  to welcome in the year ,Little lamb Come lick white neck Let pull soft wool Let kiss soft face Merrily merrily welcome year,8.00,"Little,lamb,Come,lick,white,neck,Let,pull,soft,wool,Let,kiss,soft,face,Merrily,merrily,welcome,year",0.00,
When the voices of children are heard on the green  And laughing is heard on the hill  My heart is at rest within my breast  And everything else is still ,voices children heard green laughing heard hill heart rest breast,12.99,"voices,children,heard,green,laughing,heard,hill,heart,rest,breast",0.00,
 Then come home  my children  the sun is gone down  And the dews of night arise  Come  come  leave off play  and let us away  Till the morning appears in the skies ,come home children sun gone dews night arise Come come leave play let away Till morning appears skies,8.54,"come,home,children,sun,gone,dews,night,arise,Come,come,leave,play,let,away,Till,morning,appears,skies",0.00,
 No  no  let us play  for it is yet day  And we cannot go to sleep  Besides  in the sky the little birds fly  And the hills are all covered with sheep ,let play day sleep sky little birds fly hills covered sheep,13.91,"let,play,day,sleep,sky,little,birds,fly,hills,covered,sheep",0.00,
 Well  well  go and play till the light fades away  And then go home to bed ,play till light fades away home bed,11.84,"play,till,light,fades,away,home,bed",0.00,
